t_start_s,t_end_s,t_mid_s,t_mid_h,dt_s,rate_mps,rate_mmh,depth_mm
0,300,150.0,0.041666666666666664,300,0.0,0.0,0.0
300,600,450.0,0.125,300,0.0,0.0,0.0
600,900,750.0,0.20833333333333334,300,0.0,0.0,0.0
900,1200,1050.0,0.2916666666666667,300,0.0,0.0,0.0
1200,1500,1350.0,0.375,300,0.0,0.0,0.0
1500,1800,1650.0,0.4583333333333333,300,0.0,0.0,0.0
1800,2100,1950.0,0.5416666666666666,300,7.689966409441676e-08,0.2768387907399003,0.023069899228325027
2100,2400,2250.0,0.625,300,7.689966409441669e-08,0.2768387907399001,0.023069899228325006
2400,2700,2550.0,0.7083333333333334,300,7.689966409441674e-08,0.27683879073990025,0.023069899228325023
2700,3000,2850.0,0.7916666666666666,300,7.689966409441677e-08,0.27683879073990036,0.02306989922832503
3000,3300,3150.0,0.875,300,7.68996640944168e-08,0.2768387907399005,0.02306989922832504
3300,3600,3450.0,0.9583333333333334,300,7.689966409441654e-08,0.27683879073989953,0.02306989922832496
3600,3900,3750.0,1.0416666666666667,300,1.7943254955363913e-07,0.6459571783931009,0.053829764866091735
3900,4200,4050.0,1.125,300,1.7943254955363913e-07,0.6459571783931009,0.053829764866091735
4200,4500,4350.0,1.2083333333333333,300,1.7943254955363907e-07,0.6459571783931006,0.05382976486609172
4500,4800,4650.0,1.2916666666666667,300,1.7943254955363875e-07,0.6459571783930995,0.05382976486609163
4800,5100,4950.0,1.375,300,1.7943254955363907e-07,0.6459571783931006,0.05382976486609172
5100,5400,5250.0,1.4583333333333333,300,1.7943254955363907e-07,0.6459571783931006,0.05382976486609172
5400,5700,5550.0,1.5416666666666667,300,1.794325495536391e-06,6.459571783931008,0.5382976486609172
5700,6000,5850.0,1.625,300,1.794325495536391e-06,6.459571783931008,0.5382976486609172
6000,6300,6150.0,1.7083333333333333,300,1.7943254955363916e-06,6.45957178393101,0.5382976486609174
6300,6600,6450.0,1.7916666666666667,300,1.794325495536391e-06,6.459571783931008,0.5382976486609172
6600,6900,6750.0,1.875,300,1.794325495536383e-06,6.459571783930979,0.5382976486609149
6900,7200,7050.0,1.9583333333333333,300,1.794325495536391e-06,6.459571783931008,0.5382976486609172
7200,7500,7350.0,2.0416666666666665,300,1.5379932818883348e-05,55.36775814798005,4.613979845665004
7500,7800,7650.0,2.125,300,1.5379932818883348e-05,55.36775814798005,4.613979845665004
7800,8100,7950.0,2.2083333333333335,300,1.537993281888334e-05,55.367758147980034,4.6139798456650025
8100,8400,8250.0,2.2916666666666665,300,1.5379932818883348e-05,55.36775814798005,4.613979845665004
8400,8700,8550.0,2.375,300,1.5379932818883348e-05,55.36775814798005,4.613979845665004
8700,9000,8850.0,2.4583333333333335,300,1.537993281888334e-05,55.367758147980034,4.6139798456650025
9000,9300,9150.0,2.5416666666666665,300,2.5633221364805592e-05,92.27959691330014,7.689966409441678
9300,9600,9450.0,2.625,300,2.5633221364805477e-05,92.27959691329973,7.689966409441643
9600,9900,9750.0,2.7083333333333335,300,2.5633221364805592e-05,92.27959691330014,7.689966409441678
9900,10200,10050.0,2.7916666666666665,300,2.5633221364805592e-05,92.27959691330014,7.689966409441678
10200,10500,10350.0,2.875,300,2.5633221364805592e-05,92.27959691330014,7.689966409441678
10500,10800,10650.0,2.9583333333333335,300,2.5633221364805592e-05,92.27959691330014,7.689966409441678
10800,11100,10950.0,3.0416666666666665,300,7.689966409441632e-06,27.683879073989875,2.3069899228324893
11100,11400,11250.0,3.125,300,7.689966409441706e-06,27.683879073990145,2.306989922832512
11400,11700,11550.0,3.2083333333333335,300,7.689966409441632e-06,27.683879073989875,2.3069899228324893
11700,12000,11850.0,3.2916666666666665,300,7.689966409441706e-06,27.683879073990145,2.306989922832512
12000,12300,12150.0,3.375,300,7.689966409441632e-06,27.683879073989875,2.3069899228324893
12300,12600,12450.0,3.4583333333333335,300,7.689966409441706e-06,27.683879073990145,2.306989922832512
12600,12900,12750.0,3.5416666666666665,300,2.5633221364805437e-06,9.227959691329957,0.7689966409441631
12900,13200,13050.0,3.625,300,2.5633221364805814e-06,9.227959691330094,0.7689966409441744
13200,13500,13350.0,3.7083333333333335,300,2.5633221364805437e-06,9.227959691329957,0.7689966409441631
13500,13800,13650.0,3.7916666666666665,300,2.5633221364805437e-06,9.227959691329957,0.7689966409441631
13800,14100,13950.0,3.875,300,2.5633221364805814e-06,9.227959691330094,0.7689966409441744
14100,14400,14250.0,3.9583333333333335,300,2.5633221364805437e-06,9.227959691329957,0.7689966409441631
14400,14700,14550.0,4.041666666666667,300,2.5633221364805814e-06,9.227959691330094,0.7689966409441744
14700,15000,14850.0,4.125,300,2.5633221364805437e-06,9.227959691329957,0.7689966409441631
15000,15300,15150.0,4.208333333333333,300,2.5633221364805437e-06,9.227959691329957,0.7689966409441631
15300,15600,15450.0,4.291666666666667,300,2.5633221364805437e-06,9.227959691329957,0.7689966409441631
15600,15900,15750.0,4.375,300,2.5633221364805814e-06,9.227959691330094,0.7689966409441744
15900,16200,16050.0,4.458333333333333,300,2.5633221364805437e-06,9.227959691329957,0.7689966409441631
16200,16500,16350.0,4.541666666666667,300,5.126644272961239e-07,1.845591938266046,0.15379932818883718
16500,16800,16650.0,4.625,300,5.126644272960862e-07,1.8455919382659105,0.15379932818882586
16800,17100,16950.0,4.708333333333333,300,5.126644272961239e-07,1.845591938266046,0.15379932818883718
17100,17400,17250.0,4.791666666666667,300,5.126644272961239e-07,1.845591938266046,0.15379932818883718
17400,17700,17550.0,4.875,300,5.126644272960862e-07,1.8455919382659105,0.15379932818882586
17700,18000,17850.0,4.958333333333333,300,5.126644272961239e-07,1.845591938266046,0.15379932818883718
18000,18300,18150.0,5.041666666666667,300,7.689966409439788e-08,0.27683879073983236,0.023069899228319365
18300,18600,18450.0,5.125,300,7.689966409443551e-08,0.27683879073996787,0.023069899228330654
18600,18900,18750.0,5.208333333333333,300,7.689966409439788e-08,0.27683879073983236,0.023069899228319365
18900,19200,19050.0,5.291666666666667,300,7.689966409443551e-08,0.27683879073996787,0.023069899228330654
19200,19500,19350.0,5.375,300,7.689966409443551e-08,0.27683879073996787,0.023069899228330654
19500,19800,19650.0,5.458333333333333,300,7.689966409439788e-08,0.27683879073983236,0.023069899228319365
19800,20100,19950.0,5.541666666666667,300,0.0,0.0,0.0
20100,20400,20250.0,5.625,300,0.0,0.0,0.0
20400,20700,20550.0,5.708333333333333,300,0.0,0.0,0.0
20700,21000,20850.0,5.791666666666667,300,0.0,0.0,0.0
21000,21300,21150.0,5.875,300,0.0,0.0,0.0
21300,21600,21450.0,5.958333333333333,300,0.0,0.0,0.0
