t_start_s,t_end_s,t_mid_s,t_mid_h,dt_s,rate_mps,rate_mmh,depth_mm
0,300,150.0,0.041666666666666664,300,0.0,0.0,0.0
300,600,450.0,0.125,300,0.0,0.0,0.0
600,900,750.0,0.20833333333333334,300,0.0,0.0,0.0
900,1200,1050.0,0.2916666666666667,300,0.0,0.0,0.0
1200,1500,1350.0,0.375,300,0.0,0.0,0.0
1500,1800,1650.0,0.4583333333333333,300,0.0,0.0,0.0
1800,2100,1950.0,0.5416666666666666,300,5.468394613405966e-08,0.1968622060826148,0.016405183840217896
2100,2400,2250.0,0.625,300,5.46839461340596e-08,0.19686220608261457,0.016405183840217878
2400,2700,2550.0,0.7083333333333334,300,5.4683946134059644e-08,0.19686220608261473,0.016405183840217892
2700,3000,2850.0,0.7916666666666666,300,5.468394613405966e-08,0.1968622060826148,0.016405183840217896
3000,3300,3150.0,0.875,300,5.468394613405968e-08,0.19686220608261484,0.016405183840217902
3300,3600,3450.0,0.9583333333333334,300,5.46839461340595e-08,0.19686220608261418,0.01640518384021785
3600,3900,3750.0,1.0416666666666667,300,1.275958743128059e-07,0.4593451475261012,0.038278762293841764
3900,4200,4050.0,1.125,300,1.275958743128059e-07,0.4593451475261012,0.038278762293841764
4200,4500,4350.0,1.2083333333333333,300,1.2759587431280582e-07,0.45934514752610095,0.038278762293841744
4500,4800,4650.0,1.2916666666666667,300,1.275958743128056e-07,0.4593451475261002,0.03827876229384169
4800,5100,4950.0,1.375,300,1.2759587431280582e-07,0.45934514752610095,0.038278762293841744
5100,5400,5250.0,1.4583333333333333,300,1.2759587431280582e-07,0.45934514752610095,0.038278762293841744
5400,5700,5550.0,1.5416666666666667,300,1.2759587431280586e-06,4.593451475261011,0.38278762293841756
5700,6000,5850.0,1.625,300,1.2759587431280586e-06,4.593451475261011,0.38278762293841756
6000,6300,6150.0,1.7083333333333333,300,1.275958743128059e-06,4.593451475261013,0.38278762293841767
6300,6600,6450.0,1.7916666666666667,300,1.2759587431280586e-06,4.593451475261011,0.38278762293841756
6600,6900,6750.0,1.875,300,1.2759587431280526e-06,4.59345147526099,0.3827876229384158
6900,7200,7050.0,1.9583333333333333,300,1.2759587431280586e-06,4.593451475261011,0.38278762293841756
7200,7500,7350.0,2.0416666666666665,300,1.0936789226811927e-05,39.37244121652293,3.2810367680435784
7500,7800,7650.0,2.125,300,1.0936789226811927e-05,39.37244121652293,3.2810367680435784
7800,8100,7950.0,2.2083333333333335,300,1.093678922681192e-05,39.372441216522915,3.281036768043576
8100,8400,8250.0,2.2916666666666665,300,1.0936789226811927e-05,39.37244121652293,3.2810367680435784
8400,8700,8550.0,2.375,300,1.0936789226811927e-05,39.37244121652293,3.2810367680435784
8700,9000,8850.0,2.4583333333333335,300,1.093678922681192e-05,39.372441216522915,3.281036768043576
9000,9300,9150.0,2.5416666666666665,300,1.8227982044686554e-05,65.62073536087159,5.468394613405966
9300,9600,9450.0,2.625,300,1.8227982044686473e-05,65.62073536087131,5.468394613405942
9600,9900,9750.0,2.7083333333333335,300,1.8227982044686554e-05,65.62073536087159,5.468394613405966
9900,10200,10050.0,2.7916666666666665,300,1.8227982044686554e-05,65.62073536087159,5.468394613405966
10200,10500,10350.0,2.875,300,1.8227982044686554e-05,65.62073536087159,5.468394613405966
10500,10800,10650.0,2.9583333333333335,300,1.8227982044686554e-05,65.62073536087159,5.468394613405966
10800,11100,10950.0,3.0416666666666665,300,5.468394613405934e-06,19.68622060826136,1.6405183840217803
11100,11400,11250.0,3.125,300,5.468394613405987e-06,19.686220608261554,1.640518384021796
11400,11700,11550.0,3.2083333333333335,300,5.468394613405934e-06,19.68622060826136,1.6405183840217803
11700,12000,11850.0,3.2916666666666665,300,5.468394613405987e-06,19.686220608261554,1.640518384021796
12000,12300,12150.0,3.375,300,5.468394613405934e-06,19.68622060826136,1.6405183840217803
12300,12600,12450.0,3.4583333333333335,300,5.468394613405987e-06,19.686220608261554,1.640518384021796
12600,12900,12750.0,3.5416666666666665,300,1.8227982044686445e-06,6.56207353608712,0.5468394613405934
12900,13200,13050.0,3.625,300,1.8227982044686714e-06,6.562073536087217,0.5468394613406014
13200,13500,13350.0,3.7083333333333335,300,1.8227982044686445e-06,6.56207353608712,0.5468394613405934
13500,13800,13650.0,3.7916666666666665,300,1.8227982044686445e-06,6.56207353608712,0.5468394613405934
13800,14100,13950.0,3.875,300,1.8227982044686714e-06,6.562073536087217,0.5468394613406014
14100,14400,14250.0,3.9583333333333335,300,1.8227982044686445e-06,6.56207353608712,0.5468394613405934
14400,14700,14550.0,4.041666666666667,300,1.8227982044686714e-06,6.562073536087217,0.5468394613406014
14700,15000,14850.0,4.125,300,1.8227982044686445e-06,6.56207353608712,0.5468394613405934
15000,15300,15150.0,4.208333333333333,300,1.8227982044686445e-06,6.56207353608712,0.5468394613405934
15300,15600,15450.0,4.291666666666667,300,1.8227982044686445e-06,6.56207353608712,0.5468394613405934
15600,15900,15750.0,4.375,300,1.8227982044686714e-06,6.562073536087217,0.5468394613406014
15900,16200,16050.0,4.458333333333333,300,1.8227982044686445e-06,6.56207353608712,0.5468394613405934
16200,16500,16350.0,4.541666666666667,300,3.645596408937396e-07,1.3124147072174626,0.10936789226812188
16500,16800,16650.0,4.625,300,3.645596408937129e-07,1.3124147072173662,0.10936789226811386
16800,17100,16950.0,4.708333333333333,300,3.645596408937396e-07,1.3124147072174626,0.10936789226812188
17100,17400,17250.0,4.791666666666667,300,3.645596408937396e-07,1.3124147072174626,0.10936789226812188
17400,17700,17550.0,4.875,300,3.645596408937129e-07,1.3124147072173662,0.10936789226811386
17700,18000,17850.0,4.958333333333333,300,3.645596408937396e-07,1.3124147072174626,0.10936789226812188
18000,18300,18150.0,5.041666666666667,300,5.4683946134046224e-08,0.1968622060825664,0.016405183840213867
18300,18600,18450.0,5.125,300,5.468394613407297e-08,0.19686220608266272,0.016405183840221892
18600,18900,18750.0,5.208333333333333,300,5.4683946134046224e-08,0.1968622060825664,0.016405183840213867
18900,19200,19050.0,5.291666666666667,300,5.468394613407297e-08,0.19686220608266272,0.016405183840221892
19200,19500,19350.0,5.375,300,5.468394613407297e-08,0.19686220608266272,0.016405183840221892
19500,19800,19650.0,5.458333333333333,300,5.4683946134046224e-08,0.1968622060825664,0.016405183840213867
19800,20100,19950.0,5.541666666666667,300,0.0,0.0,0.0
20100,20400,20250.0,5.625,300,0.0,0.0,0.0
20400,20700,20550.0,5.708333333333333,300,0.0,0.0,0.0
20700,21000,20850.0,5.791666666666667,300,0.0,0.0,0.0
21000,21300,21150.0,5.875,300,0.0,0.0,0.0
21300,21600,21450.0,5.958333333333333,300,0.0,0.0,0.0
