scenario_name,duration_h,probability,return_period_yr,scaling_factor,total_rainfall_mm,peak_intensity_mmh,mean_intensity_mmh
rain_D6h_RP2_P0500_BASE,6,0.5,2,1.0,44.33868,40.2530004539265,7.389779999999998
rain_D6h_RP2_P0500_S105,6,0.5,2,1.05,46.555614,42.26565047662282,7.759269
rain_D6h_RP2_P0500_S110,6,0.5,2,1.1,48.772548,44.27830049931915,8.128758
rain_D6h_RP2_P0500_S112,6,0.5,2,1.12,49.6593216,45.08336050839768,8.276553600000002
rain_D6h_RP2_P0500_S120,6,0.5,2,1.2,53.206416,48.30360054471179,8.867736
rain_D6h_RP2_P0500_S130,6,0.5,2,1.3,57.640284,52.328900590104446,9.606714000000002
rain_D6h_RP30_P0500_BASE,6,0.5,30,1.0,72.28124,65.62073536087159,12.046873333333332
rain_D6h_RP30_P0500_S105,6,0.5,30,1.05,75.89530200000002,68.90177212891517,12.649217
rain_D6h_RP30_P0500_S110,6,0.5,30,1.1,79.509364,72.18280889695876,13.251560666666668
rain_D6h_RP30_P0500_S112,6,0.5,30,1.12,80.95498880000001,73.4952236041762,13.492498133333335
rain_D6h_RP30_P0500_S120,6,0.5,30,1.2,86.737488,78.7448824330459,14.456248
rain_D6h_RP30_P0500_S130,6,0.5,30,1.3,93.965612,85.30695596913307,15.660935333333335
rain_D6h_RP100_P0500_BASE,6,0.5,100,1.0,84.70498,76.89966409441678,14.11749666666667
rain_D6h_RP100_P0500_S105,6,0.5,100,1.05,88.94022900000002,80.74464729913763,14.823371500000004
rain_D6h_RP100_P0500_S110,6,0.5,100,1.1,93.17547800000003,84.58963050385846,15.529246333333337
rain_D6h_RP100_P0500_S112,6,0.5,100,1.12,94.86957760000004,86.1276237857468,15.811596266666673
rain_D6h_RP100_P0500_S120,6,0.5,100,1.2,101.64597600000002,92.27959691330014,16.940996000000002
rain_D6h_RP100_P0500_S130,6,0.5,100,1.3,110.11647400000001,99.96956332274182,18.352745666666674
rain_D6h_RP200_P0500_BASE,6,0.5,200,1.0,92.170494,83.67725283704048,15.361749
rain_D6h_RP200_P0500_S105,6,0.5,200,1.05,96.77901870000002,87.8611154788925,16.129836450000003
rain_D6h_RP200_P0500_S110,6,0.5,200,1.1,101.38754340000003,92.04497812074453,16.897923900000006
rain_D6h_RP200_P0500_S112,6,0.5,200,1.12,103.23095328000002,93.71852317748534,17.205158880000006
rain_D6h_RP200_P0500_S120,6,0.5,200,1.2,110.60459280000002,100.41270340444856,18.4340988
rain_D6h_RP200_P0500_S130,6,0.5,200,1.3,119.82164220000001,108.78042868815263,19.9702737
rain_D6h_RP2_P0975_BASE,6,0.975,2,1.0,48.679703,44.19401089423518,8.113283833333334
rain_D6h_RP2_P0975_S105,6,0.975,2,1.05,51.11368815,46.40371143894693,8.518948025
rain_D6h_RP2_P0975_S110,6,0.975,2,1.1,53.547673300000014,48.61341198365869,8.924612216666668
rain_D6h_RP2_P0975_S112,6,0.975,2,1.12,54.52126736000001,49.497292201543395,9.086877893333334
rain_D6h_RP2_P0975_S120,6,0.975,2,1.2,58.4156436,53.03281307308221,9.735940600000001
rain_D6h_RP2_P0975_S130,6,0.975,2,1.3,63.283613900000006,57.45221416250573,10.547268983333336
rain_D6h_RP30_P0975_BASE,6,0.975,30,1.0,86.19901000000002,78.25602360417618,14.366501666666668
rain_D6h_RP30_P0975_S105,6,0.975,30,1.05,90.5089605,82.168824784385,15.084826750000003
rain_D6h_RP30_P0975_S110,6,0.975,30,1.1,94.81891100000001,86.08162596459381,15.803151833333336
rain_D6h_RP30_P0975_S112,6,0.975,30,1.12,96.54289120000001,87.64674643667733,16.09048186666667
rain_D6h_RP30_P0975_S120,6,0.975,30,1.2,103.438812,93.90722832501143,17.239802000000005
rain_D6h_RP30_P0975_S130,6,0.975,30,1.3,112.058713,101.73283068542905,18.676452166666667
rain_D6h_RP100_P0975_BASE,6,0.975,100,1.0,105.95615,96.1926009986383,17.65935833333333
rain_D6h_RP100_P0975_S105,6,0.975,100,1.05,111.25395750000001,101.00223104857022,18.542326250000002
rain_D6h_RP100_P0975_S110,6,0.975,100,1.1,116.55176500000002,105.81186109850213,19.425294166666667
rain_D6h_RP100_P0975_S112,6,0.975,100,1.12,118.67088800000002,107.7357131184749,19.778481333333332
rain_D6h_RP100_P0975_S120,6,0.975,100,1.2,127.14738000000001,115.43112119836596,21.19123
rain_D6h_RP100_P0975_S130,6,0.975,100,1.3,137.742995,125.0503812982298,22.957165833333335
rain_D6h_RP200_P0975_BASE,6,0.975,200,1.0,118.74438500000001,107.80243758511132,19.79073083333334
rain_D6h_RP200_P0975_S105,6,0.975,200,1.05,124.68160424999999,113.1925594643669,20.780267375
rain_D6h_RP200_P0975_S110,6,0.975,200,1.1,130.61882350000002,118.58268134362245,21.769803916666667
rain_D6h_RP200_P0975_S112,6,0.975,200,1.12,132.9937112,120.73873009532468,22.165618533333337
rain_D6h_RP200_P0975_S120,6,0.975,200,1.2,142.493262,129.36292510213357,23.748877
rain_D6h_RP200_P0975_S130,6,0.975,200,1.3,154.3677005,140.14316886064472,25.72795008333334
